COUNTYFIPS,NAMELSAD,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities,Physical Inactivity Percentage,Obesity Percentage,Limited Access To Healthy Foods
42087,Mifflin County,Pennsylvania,9.1,45.94490382,19.4,22.9,6.940658061
27161,Waseca County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26093,Livingston County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29133,Mississippi County,Missouri,11.2,31.10461067,34.7,29.5,1.305256698
31087,Hitchcock County,Nebraska,9.4,No Data,25.4,35.1,37.60158398
26143,Roscommon County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37199,Yancey County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29011,Barton County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27105,Nobles County,Minnesota,9.9,57.68547105,25,28.9,9.894126871
37171,Surry County,North Carolina,9.5,40.89286441,23.9,25.3,2.981429174
31123,Morrill County,Nebraska,9.8,66.85838953,21.7,30.3,18.03479116
31135,Perkins County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38051,McIntosh County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35021,Harding County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39065,Hardin County,Ohio,10.7,55.99850271,30.6,35.5,3.297941
29141,Morgan County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38095,Towner County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27085,McLeod County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29145,Newton County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5039,Dallas County,Arkansas,9.6,No Data,22.2,24.1,26.79262776
26113,Missaukee County,Michigan,10.1,11.56306822,20.6,28.2,1.728223072
29149,Oregon County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37025,Cabarrus County,North Carolina,9.4,68.39970564,22.2,30.1,8.268493571
27123,Ramsey County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39083,Knox County,Ohio,9,56.25810476,22.2,30.7,5.95064855
39089,Licking County,Ohio,9.4,68.34202244,21.5,31.7,8.199547409
31029,Chase County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5053,Grant County,Arkansas,9,22.22595642,24.2,28.6,12.46475925
